region_name,province_name,year,area,population,population_density,temp_mean,total_precip,snowfall,precip_hours,sunshine_hours,grdp_per_capita,monthly_income_per_capita,central_administrated,airport,maritime_port,predicted_migration_rate(%)
Tây Nguyên,Kon Tum,2028,9674.2,624.6601518725234,64.90152831151482,23.535801136928672,2116.4014147067273,0,2534.775615072468,205230.41957092268,91.84406278390922,6.125777822551838,0,0,0,-0.6590954938863042
Tây Nguyên,Gia Lai,2028,15511.0,1702.4234239373013,109.91387859208155,22.734582374820462,2218.1046730092153,0,2694.4301936905285,206108.24486693236,93.98328784875186,5.456871048824913,0,1,0,-0.8796916752019246
Tây Nguyên,Đắk Lắk,2028,13030.5,2030.8451296635253,155.97302771638238,23.535801136928672,1513.5900106578463,0,2013.306439456332,199796.59211991978,97.26343294817718,6.548245258589897,0,1,0,-1.9752832116990975
Tây Nguyên,Đắk Nông,2028,6509.3,723.5490124247267,110.96067743581565,21.83321126744873,2228.1585851202835,0,2617.713058510421,195568.4167346401,105.67771820322474,6.513039638920057,0,0,0,0.6159858808733578
Tây Nguyên,Lâm Đồng,2028,9783.3,1421.3367979241857,145.50503927904128,19.028945600069992,2120.3171488973535,0,2440.4342731617958,207220.09107987612,133.91548905914718,9.347092022342027,0,1,0,-0.6408944425177955
Đông Nam Bộ,Bình Phước,2028,6876.8,1107.3568339238004,161.20702193505295,26.23991445904388,2587.771146735118,0,2749.3762499681734,203591.28572235556,147.89175948278552,8.94222739613889,0,0,0,0.22950011501747491
Đông Nam Bộ,Tây Ninh,2028,4041.3,1254.8965077086032,310.8992565890307,27.541894947469725,2048.140643005265,0,2181.254762418189,207683.19576359776,143.89853936174603,9.329489212507108,0,0,0,1.9972245756274158
Đông Nam Bộ,Bình Dương,2028,2694.4,2985.2740477703233,1110.6535732018906,26.84082853062504,2243.609860575188,0,2397.928833399844,203560.67539144863,261.9837629410578,15.736911992417651,0,0,2,47.233945495806445
Đông Nam Bộ,Đồng Nai,2028,5863.6,3489.5341402799213,596.6753409284428,26.540371494834464,2251.4413289564413,0,2646.7411637137056,205726.10944560982,210.21451637186675,12.586009031967139,0,0,1,6.63643759638893
Đông Nam Bộ,Bà Rịa - Vũng Tàu,2028,1981.0,1245.623719095049,630.1729039279343,27.141285566415625,1770.5468380859859,0,2480.8662768377976,216028.95437088038,535.3767262279429,10.033601605903874,0,1,4,2.672717552992262
Đông Nam Bộ,TP Hồ Chí Minh,2028,2061.4,9943.071303098397,4835.163859207854,27.24143791167915,2106.770825210862,0,2339.872622993276,205124.76455779214,264.40821801454615,12.515597792627462,1,1,1,14.925920679622266
Đồng bằng sông Cửu Long,Long An,2028,4494.9,1830.5821341334145,408.25154905630296,26.84082853062504,2156.6170631509995,0,2282.853130629683,207880.68176944923,149.74575453898245,8.097292524062771,0,0,2,-2.365468115532491
Đồng bằng sông Cửu Long,Tiền Giang,2028,2510.6,1874.6592070363552,748.4611732698887,26.740676185361515,2115.3431081687195,0,2233.09066456691,204676.4713245093,106.5334082291618,8.836610537129376,0,0,2,-1.7538684299568323
Đồng bằng sông Cửu Long,Bến Tre,2028,2394.8,1363.0163875562812,570.50536983509,26.740676185361515,2202.4417362467098,0,2278.706258457785,208482.02665726695,80.57747744240486,7.710030707694553,0,0,2,-4.993503408365656
Đồng bằng sông Cửu Long,Trà Vinh,2028,2358.3,1068.1354442475517,454.31069818060377,26.740676185361515,2218.4221649706174,0,2295.293747145376,207531.13153909214,127.64042886894218,7.357974510996172,0,0,1,-6.037414433893625
Đồng bằng sông Cửu Long,Vĩnh Long,2028,1525.7,1081.1570291587022,710.7764148954607,26.84082853062504,2115.448938822521,0,2193.6953789338822,200549.01380221389,113.80677344962665,7.199549222481901,0,0,2,-2.745227457713174
Đồng bằng sông Cửu Long,Đồng Tháp,2028,3383.8,1671.775186796782,495.135853086234,27.141285566415625,2087.615476872932,0,2154.300093300854,202332.31243505253,106.39079322483894,9.347092022342027,0,0,1,-5.677997828822342
Đồng bằng sông Cửu Long,An Giang,2028,3536.7,1995.5291712276698,565.2713756164194,27.141285566415625,2005.1733975621742,0,2238.2742547817825,198790.40092010662,91.13098776229502,7.428385750335848,0,0,2,-6.0481757956720665
Đồng bằng sông Cửu Long,Kiên Giang,2028,6348.8,1841.849407685244,291.01007855808257,27.041133221152094,2219.374640854824,0,2630.1536750261143,198227.56580342998,113.23631343233531,9.065447064983324,0,2,2,-5.548262907639619
Đồng bằng sông Cửu Long,Cần Thơ,2028,1439.0,1324.6199419120942,923.2765801734851,26.84082853062504,2093.012840216769,0,2231.0172284809614,198781.5140498433,146.89345445252565,10.64969995012604,1,1,1,-0.37254594529162244
Đồng bằng sông Cửu Long,Hậu Giang,2028,1621.7,761.162283354931,470.0126808366154,26.740676185361515,2253.9812646476585,0,2357.496829723841,200194.5264217105,127.21258385597366,8.062086904392936,0,0,1,-5.370476951980365
Đồng bằng sông Cửu Long,Sóc Trăng,2028,3311.9,1256.9536466239972,379.9879802754819,26.64052384009799,2183.709710523983,0,2433.177246860974,205370.6346350772,93.84067284442901,7.5163997995104435,0,0,2,-6.489474639422047
Đồng bằng sông Cửu Long,Bạc Liêu,2028,2669.0,970.5518748853195,364.28599761947027,26.84082853062504,2311.447309661448,0,2741.0825056243784,204477.01045859934,100.25834803895681,9.10065268465316,0,0,0,-6.339612396237584
Đồng bằng sông Cửu Long,Cà Mau,2028,5221.2,1264.3990275715917,242.8573317463135,26.84082853062504,2639.5223364436683,0,2731.7520432376086,200745.51237803607,102.2549580994766,7.833250376538988,0,1,2,-9.560662645536379
Đồng bằng sông Hồng,Hà Nội,2029,3358.6,9168.474195913057,2738.1520655144595,23.84533134349045,1923.7596966267372,0,2192.6388236011703,143529.46704780293,254.6587344501111,15.308211301163364,1,1,0,6.2205228662013985
Đồng bằng sông Hồng,Vĩnh Phúc,2029,1235.2,1289.7242418858975,1047.1896337176336,23.745140875660653,1863.2195521731337,0,2250.1746705945216,143994.06245469349,220.21590684088557,11.841053509774046,0,0,0,-0.8048145069016882
Đồng bằng sông Hồng,Bắc Ninh,2029,822.7,1629.3403659176129,1986.3779098627708,23.84533134349045,1982.1530274472343,0,2235.5291822689414,145625.0679403242,251.23003667905692,11.658571520753554,0,0,0,22.059939584533442
Đồng bằng sông Hồng,Quảng Ninh,2029,6177.8,1471.1807791098179,239.297125601805,23.444569472171274,2268.967328830263,0,2829.717565763915,167160.83681184726,384.7933998514836,11.96270816912104,0,1,1,-2.303533105240385
Đồng bằng sông Hồng,Hải Dương,2029,1668.2,2080.9233014870897,1251.545143634219,23.745140875660653,1942.0076125081425,0,2253.312989521432,149571.17596198586,162.2397445303339,11.922156616005376,0,0,0,1.0483676876610035
Đồng bằng sông Hồng,Hải Phòng,2029,1561.8,2239.8006919325358,1438.9592641276681,23.745140875660653,1893.4896243999356,0,2114.1808504284186,160287.38400185385,318.24549311329673,14.253870920156087,1,1,4,9.837931262635408
Đồng bằng sông Hồng,Hưng Yên,2029,930.3,1386.8388516857851,1495.0776165918087,23.84533134349045,1904.2236925654684,0,2156.0251027872196,145453.7975996484,190.60442609087264,11.901880839447545,0,0,0,8.789207191616345
Đồng bằng sông Hồng,Thái Bình,2029,1586.4,1993.1506949125176,1260.0158383457876,24.045712279150028,1856.9937926371251,0,2057.6911097440375,156397.38178144803,107.22473029478363,11.557192637964397,0,0,2,-0.7446382418939091
Đồng bằng sông Hồng,Hà Nam,2029,862.0,942.3917287494304,1096.9549651480972,23.84533134349045,1964.0124522474846,0,2152.8867838603096,148457.91874759345,165.3567425040195,11.354434872386072,0,0,0,-1.1717749193459845
Đồng bằng sông Hồng,Nam Định,2029,1668.5,1997.6369676478384,1200.7209753648092,24.045712279150028,1862.682848764857,0,2076.5210233054977,155947.55105909848,88.67859235135448,12.023535498794537,0,0,2,-1.4263285370859329
Đồng bằng sông Hồng,Ninh Bình,2029,1386.8,1084.1262793780268,784.5980976590156,23.945521811320237,1915.8164861842433,0,2065.013853906828,153539.92316661048,146.65475466190608,11.96270816912104,0,0,0,-0.5930446770980781
Trung du và miền núi phía Bắc,Hà Giang,2029,7929.5,958.7534293135418,121.76623647879458,22.943617133022315,2873.7247292763645,0,3749.245011348566,149452.074173355,60.3139107908158,4.967565256668907,0,0,0,-4.5895309805925075
Trung du và miền núi phía Bắc,Cao Bằng,2029,6700.3,586.7094703573421,87.8834576325213,21.540950583405234,1953.8150874902283,0,2670.7094068004717,146059.14966583002,69.82075461055678,5.271701905036391,0,0,0,-2.874975645693871
Trung du và miền núi phía Bắc,Bắc Kạn,2029,4860.0,346.8680519591635,72.00090504833071,22.142093390383987,2280.4527817673834,0,2977.218555328689,141141.52540136958,87.58764306056453,5.575838553403875,0,0,0,-1.641159789692633
Trung du và miền núi phía Bắc,Tuyên Quang,2029,5867.9,865.6395191999757,148.23715745244556,23.64495040783086,2186.959048045595,0,2399.767872777235,142142.5710132504,93.04238951451428,7.481761549840107,0,0,0,-2.296393385933991
Trung du và miền núi phía Bắc,Lào Cai,2029,6364.0,830.8260427738857,131.29576802930896,22.943617133022315,2593.028846747689,0,3810.9652835777983,169234.78283370836,150.0834524329602,7.197900678030456,0,0,0,-2.290744298293806
Trung du và miền núi phía Bắc,Yên Bái,2029,6887.7,911.3361654851619,132.354604868255,23.24418853651169,2504.6874657453573,0,2733.475785338673,144921.2846438692,86.18499397240602,7.096521795241296,0,0,0,-2.290744298293806
Trung du và miền núi phía Bắc,Thái Nguyên,2029,3526.6,1437.1589978723139,408.71101983317146,23.143998068681906,2277.7692647259996,0,2601.66639040845,138672.87014611208,194.9682232540324,10.806988905324602,0,0,0,-2.249609873961161
Trung du và miền núi phía Bắc,Lạng Sơn,2029,8310.1,859.2320661403527,103.7660102167119,21.641141051235028,1712.1912130840917,0,2345.3703447107946,152636.32447270042,95.53598789346275,6.488248498506327,0,0,0,-2.676024722597441
Trung du và miền núi phía Bắc,Bắc Giang,2029,3895.5,2059.0514024104195,530.4772563119659,23.544759940001068,2037.9701819080033,0,2315.033261750663,147202.92056160723,159.74614615138552,10.381197597610122,0,0,0,-2.3706600069543917
Trung du và miền núi phía Bắc,Phú Thọ,2029,3534.6,1626.2580326500515,461.6528617804734,23.344379004341484,2044.0886007623567,0,2345.3703447107946,144147.61517392006,108.7832292816264,9.570166535296831,0,0,0,-1.954260066653565
Trung du và miền núi phía Bắc,Điện Biên,2029,9541.3,689.7459601678532,72.00090504833071,22.142093390383987,2396.4880586367894,0,3132.0422890562527,175752.89890241472,73.56115217897947,4.825634820764081,0,1,0,-1.7558107444250608
Trung du và miền núi phía Bắc,Lai Châu,2029,9068.8,522.128254840417,58.236026142032195,19.73752216246898,2349.794862116723,0,3261.7594713685353,177000.02258997905,88.36689255398592,5.068944139458068,0,0,0,-1.1927382591425795
Trung du và miền núi phía Bắc,Sơn La,2029,14123.5,1401.2265922463553,99.53066286092773,21.540950583405234,1557.9426535453892,0,1944.7116283752748,182664.7398922147,86.34084387109029,5.271701905036391,0,0,0,-2.1452053310088433
Trung du và miền núi phía Bắc,Hòa Bình,2029,4590.6,941.9800472513656,205.41434675553174,24.14590274697982,1948.4480534074623,0,2161.25563433207,145144.72353658988,120.31612178426302,7.299279560819618,0,0,0,-2.4944613603161736
Bắc Trung Bộ,Thanh Hóa,2029,11114.7,3969.71801460812,357.88685156376147,24.246093214809612,1841.214712433792,0,1923.7895021958743,160913.40662639285,125.30331854215994,10.279818714820964,0,1,1,-2.8951227061147606
Bắc Trung Bộ,Nghệ An,2029,16481.6,3663.9547768403436,223.41457301761443,24.847236021788362,1876.8518187433604,0,2014.8007510762664,161916.42086287908,94.91258829872562,8.961893238561863,0,1,1,-2.8196271716396635
Bắc Trung Bộ,Hà Tĩnh,2029,5990.7,1403.2744438008312,235.06177824602082,24.74704555395857,2537.6410550135415,0,2668.617194182532,166591.90430086682,132.1607140842682,8.414447271500395,0,0,1,-2.8095632872435305
Bắc Trung Bộ,Quảng Bình,2029,8000.0,975.5479232474135,122.8250733177406,25.24799789310753,2590.7746924329276,0,3149.8260963087428,173742.9331802313,100.83488444872822,8.475274601173888,0,1,1,-2.8095632872435305
Bắc Trung Bộ,Quảng Trị,2029,4621.7,695.2350468087164,151.4136679692837,25.548569296596902,2602.1528046883923,0,2929.097665116067,178518.816473098,126.08256803558133,7.9075528575545855,0,0,1,-2.8095632872435305
Bắc Trung Bộ,Huế,2029,4902.4,1243.0881173102557,254.12084134704958,25.648759764426696,3124.57990230486,0,3062.9992726642304,180332.90404703727,105.66623130794082,10.401473374167955,1,1,1,-1.7336252211260073
Duyên hải Nam Trung Bộ,Đà Nẵng,2029,1284.9,1339.6221506385139,1046.1307968786875,25.94933116791607,2478.0669766948363,0,3069.2759105180508,192362.18469875277,182.65608125797445,13.584770293747622,1,1,1,8.318508654694739
Duyên hải Nam Trung Bộ,Quảng Nam,2029,10574.7,1625.0546559634006,154.5901784861218,25.849140700086284,2744.3792078816978,0,3051.49210326556,179983.4731795666,129.1995660092669,8.313068388711228,0,1,2,-2.8095632872435305
Duyên hải Nam Trung Bộ,Quảng Ngãi,2029,5155.8,1326.8283563909633,258.3561887028337,26.149712103575656,2801.1624284773648,0,3121.5812259665513,198380.2701176701,172.99338753954916,8.617205037078715,0,0,1,-4.249377280983545
Duyên hải Nam Trung Bộ,Bình Định,2029,6066.2,1599.6676302494081,264.70920973651,26.049521635745865,2303.6383690049333,0,3084.967505152601,205294.07973207557,132.93996357768958,9.630993864970328,0,1,1,-2.6105822643864993
Duyên hải Nam Trung Bộ,Phú Yên,2029,5023.4,932.4058134373984,186.355283654503,26.049521635745865,1884.9023698675096,0,2887.2534127572667,204742.86484254437,110.65342806583776,8.029207516901579,0,1,2,-2.7881590998664394
Duyên hải Nam Trung Bộ,Khánh Hòa,2029,5137.8,1337.9015330953205,261.5326992196719,26.45028350706503,1745.359483715587,0,2296.2033481892026,210029.60622053017,150.3951522303288,9.124099451024522,0,1,1,-2.7881590998664394
